03:14:29.525854 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:63260, sz=113 is delayed for 1.1ms
03:14:29.528501 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:63260, sz=113 is delivered
16:50:10.007238 config: drop-rate=0.00, max-delay=10ms, seed=1
16:50:10.022930 router is listening at :3000
16:50:14.624778 [queue=1] packet #0, 127.0.0.1:65404 -> 127.0.0.1:8080, sz=0 is delayed for 8.7ms
16:50:14.636253 [queue=0] packet #0, 127.0.0.1:65404 -> 127.0.0.1:8080, sz=0 is delivered
16:50:42.087261 [queue=1] packet #0, 127.0.0.1:53525 -> 127.0.0.1:8080, sz=0 is delayed for 5.9ms
16:50:42.093264 [queue=0] packet #0, 127.0.0.1:53525 -> 127.0.0.1:8080, sz=0 is delivered
16:55:16.328437 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 1.8ms
16:55:16.331474 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:17.347510 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 4ms
16:55:17.353015 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:18.353238 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 0s
16:55:18.354176 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:19.362379 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 1.1ms
16:55:19.364626 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:20.374631 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 8.9ms
16:55:20.383713 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:21.386487 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 7.4ms
16:55:21.395818 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:22.395446 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 4.5ms
16:55:22.402374 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:23.409528 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 600µs
16:55:23.411616 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:24.418014 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 6.6ms
16:55:24.426122 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:25.425490 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 5.8ms
16:55:25.432791 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
16:55:26.432528 [queue=1] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delayed for 4.7ms
16:55:26.437491 [queue=0] packet #0, 127.0.0.1:53631 -> 127.0.0.1:8080, sz=0 is delivered
18:20:29.773546 config: drop-rate=0.00, max-delay=10ms, seed=1
18:20:29.774543 router is listening at :3000
18:20:43.115748 [queue=1] packet #0, 127.0.0.1:65099 -> 127.0.0.1:8080, sz=0 is delayed for 8.7ms
18:20:43.126308 [queue=0] packet #0, 127.0.0.1:65099 -> 127.0.0.1:8080, sz=0 is delivered
18:20:43.131207 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:65099, sz=0 is delayed for 5.9ms
18:20:43.138220 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:65099, sz=0 is delivered
18:20:43.139252 [queue=1] packet #0, 127.0.0.1:65099 -> 127.0.0.1:8080, sz=0 is delayed for 1.8ms
18:20:43.140209 [queue=2] packet #0, 127.0.0.1:65099 -> 127.0.0.1:8080, sz=58 is delayed for 4ms
18:20:43.141216 [queue=1] packet #0, 127.0.0.1:65099 -> 127.0.0.1:8080, sz=0 is delivered
18:20:43.145240 [queue=0] packet #0, 127.0.0.1:65099 -> 127.0.0.1:8080, sz=58 is delivered
18:20:43.148207 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:65099, sz=113 is delayed for 0s
18:20:43.148207 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:65099, sz=113 is delivered
18:22:18.675578 [queue=1] packet #0, 127.0.0.1:56743 -> 127.0.0.1:8080, sz=0 is delayed for 1.1ms
18:22:18.677666 [queue=0] packet #0, 127.0.0.1:56743 -> 127.0.0.1:8080, sz=0 is delivered
18:22:18.681604 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56743, sz=0 is delayed for 8.9ms
18:22:18.690588 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56743, sz=0 is delivered
18:22:18.691603 [queue=1] packet #0, 127.0.0.1:56743 -> 127.0.0.1:8080, sz=0 is delayed for 7.4ms
18:22:18.692588 [queue=2] packet #0, 127.0.0.1:56743 -> 127.0.0.1:8080, sz=58 is delayed for 4.5ms
18:22:18.697733 [queue=1] packet #0, 127.0.0.1:56743 -> 127.0.0.1:8080, sz=58 is delivered
18:22:18.699821 [queue=0] packet #0, 127.0.0.1:56743 -> 127.0.0.1:8080, sz=0 is delivered
18:23:24.389543 [queue=1] packet #0, 127.0.0.1:56744 -> 127.0.0.1:8080, sz=0 is delayed for 600µs
18:23:24.390533 [queue=0] packet #0, 127.0.0.1:56744 -> 127.0.0.1:8080, sz=0 is delivered
18:23:24.394710 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56744, sz=0 is delayed for 6.6ms
18:23:24.402922 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56744, sz=0 is delivered
18:23:24.402922 [queue=1] packet #0, 127.0.0.1:56744 -> 127.0.0.1:8080, sz=0 is delayed for 5.8ms
18:23:24.403861 [queue=2] packet #0, 127.0.0.1:56744 -> 127.0.0.1:8080, sz=58 is delayed for 4.7ms
18:23:24.409010 [queue=1] packet #0, 127.0.0.1:56744 -> 127.0.0.1:8080, sz=58 is delivered
18:23:24.410026 [queue=0] packet #0, 127.0.0.1:56744 -> 127.0.0.1:8080, sz=0 is delivered
18:25:52.063422 [queue=1] packet #0, 127.0.0.1:58102 -> 127.0.0.1:8080, sz=0 is delayed for 8.8ms
18:25:52.072845 [queue=0] packet #0, 127.0.0.1:58102 -> 127.0.0.1:8080, sz=0 is delivered
18:25:52.077723 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:58102, sz=0 is delayed for 1.5ms
18:25:52.079684 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:58102, sz=0 is delivered
18:25:52.079684 [queue=1] packet #0, 127.0.0.1:58102 -> 127.0.0.1:8080, sz=0 is delayed for 800µs
18:25:52.080687 [queue=2] packet #0, 127.0.0.1:58102 -> 127.0.0.1:8080, sz=58 is delayed for 3.1ms
18:25:52.081676 [queue=1] packet #0, 127.0.0.1:58102 -> 127.0.0.1:8080, sz=0 is delivered
18:25:52.086679 [queue=0] packet #0, 127.0.0.1:58102 -> 127.0.0.1:8080, sz=58 is delivered
18:25:52.089687 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:58102, sz=113 is delayed for 5.6ms
18:25:52.095405 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:58102, sz=113 is delivered
18:26:51.160503 [queue=1] packet #0, 127.0.0.1:56203 -> 127.0.0.1:8080, sz=0 is delayed for 3.1ms
18:26:51.164594 [queue=0] packet #0, 127.0.0.1:56203 -> 127.0.0.1:8080, sz=0 is delivered
18:26:51.168645 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56203, sz=0 is delayed for 2.6ms
18:26:51.171612 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56203, sz=0 is delivered
18:26:51.172609 [queue=1] packet #0, 127.0.0.1:56203 -> 127.0.0.1:8080, sz=0 is delayed for 9ms
18:26:51.172609 [queue=2] packet #0, 127.0.0.1:56203 -> 127.0.0.1:8080, sz=58 is delayed for 6.3ms
18:26:51.180632 [queue=1] packet #0, 127.0.0.1:56203 -> 127.0.0.1:8080, sz=58 is delivered
18:26:51.182644 [queue=0] packet #0, 127.0.0.1:56203 -> 127.0.0.1:8080, sz=0 is delivered
18:27:54.812158 [queue=1] packet #0, 127.0.0.1:61221 -> 127.0.0.1:8080, sz=0 is delayed for 4.7ms
18:27:54.819132 [queue=0] packet #0, 127.0.0.1:61221 -> 127.0.0.1:8080, sz=0 is delivered
18:27:54.823134 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:61221, sz=0 is delayed for 2.4ms
18:27:54.828164 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:61221, sz=0 is delivered
18:27:54.828164 [queue=1] packet #0, 127.0.0.1:61221 -> 127.0.0.1:8080, sz=0 is delayed for 5.3ms
18:27:54.829130 [queue=2] packet #0, 127.0.0.1:61221 -> 127.0.0.1:8080, sz=58 is delayed for 2.1ms
18:27:54.832133 [queue=1] packet #0, 127.0.0.1:61221 -> 127.0.0.1:8080, sz=58 is delivered
18:27:54.834135 [queue=0] packet #0, 127.0.0.1:61221 -> 127.0.0.1:8080, sz=0 is delivered
18:29:28.376773 [queue=1] packet #0, 127.0.0.1:61969 -> 127.0.0.1:8080, sz=0 is delayed for 9.9ms
18:29:28.386770 [queue=0] packet #0, 127.0.0.1:61969 -> 127.0.0.1:8080, sz=0 is delivered
18:29:28.392870 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:61969, sz=0 is delayed for 500µs
18:29:28.393964 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:61969, sz=0 is delivered
18:29:28.393964 [queue=1] packet #0, 127.0.0.1:61969 -> 127.0.0.1:8080, sz=0 is delayed for 3.8ms
18:29:28.394956 [queue=2] packet #0, 127.0.0.1:61969 -> 127.0.0.1:8080, sz=58 is delayed for 5.5ms
18:29:28.398016 [queue=1] packet #0, 127.0.0.1:61969 -> 127.0.0.1:8080, sz=0 is delivered
18:29:28.401012 [queue=0] packet #0, 127.0.0.1:61969 -> 127.0.0.1:8080, sz=58 is delivered
18:29:28.404973 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:61969, sz=113 is delayed for 1ms
18:29:28.406967 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:61969, sz=113 is delivered
18:31:12.251258 [queue=1] packet #0, 127.0.0.1:56662 -> 127.0.0.1:8080, sz=0 is delayed for 5.6ms
18:31:12.257462 [queue=0] packet #0, 127.0.0.1:56662 -> 127.0.0.1:8080, sz=0 is delivered
18:31:12.261479 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56662, sz=0 is delayed for 2.8ms
18:31:12.264703 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56662, sz=0 is delivered
18:31:12.264703 [queue=1] packet #0, 127.0.0.1:56662 -> 127.0.0.1:8080, sz=0 is delayed for 200µs
18:31:12.265665 [queue=2] packet #0, 127.0.0.1:56662 -> 127.0.0.1:8080, sz=58 is delayed for 4.6ms
18:31:12.266630 [queue=1] packet #0, 127.0.0.1:56662 -> 127.0.0.1:8080, sz=0 is delivered
18:31:12.271629 [queue=0] packet #0, 127.0.0.1:56662 -> 127.0.0.1:8080, sz=58 is delivered
18:31:12.275622 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56662, sz=113 is delayed for 7.6ms
18:31:12.283391 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56662, sz=113 is delivered
18:31:50.568828 config: drop-rate=0.80, max-delay=10ms, seed=1
18:31:50.569864 router is listening at :3000
18:32:14.334259 [queue=0] packet #0, 127.0.0.1:62566 -> 127.0.0.1:8080, sz=0 is dropped
18:32:16.350758 [queue=1] packet #0, 127.0.0.1:62566 -> 127.0.0.1:8080, sz=0 is delayed for 4.7ms
18:32:16.356774 [queue=0] packet #0, 127.0.0.1:62566 -> 127.0.0.1:8080, sz=0 is delivered
18:32:16.362615 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:62566, sz=0 is dropped
18:32:18.356717 [queue=0] packet #0, 127.0.0.1:62566 -> 127.0.0.1:8080, sz=0 is dropped
18:32:18.370803 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:62566, sz=0 is dropped
18:32:20.365249 [queue=0] packet #0, 127.0.0.1:62566 -> 127.0.0.1:8080, sz=0 is dropped
18:32:20.381401 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:62566, sz=0 is dropped
18:32:22.369353 [queue=0] packet #0, 127.0.0.1:62566 -> 127.0.0.1:8080, sz=0 is dropped
18:32:22.385326 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:62566, sz=0 is dropped
18:32:24.379219 [queue=0] packet #0, 127.0.0.1:62566 -> 127.0.0.1:8080, sz=0 is dropped
18:32:24.394970 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:62566, sz=0 is delayed for 6.2ms
18:32:24.403155 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:62566, sz=0 is delivered
